timestamp,pdu_session_create_request_rate <no value>,pdu_session_create_request_rate 1-111111,pdu_session_create_request_rate 1-222222,pdu_session_create_request_rate 2-333333,pdu_session_create_request_rate 2-444444,pdu_session_create_request_rate 3-555555,pdu_session_create_request_rate 3-666666,pdu_session_create_request_success_rate 1-111111,pdu_session_create_request_success_rate 1-222222,pdu_session_create_request_success_rate 2-333333,pdu_session_create_request_success_rate 2-444444,pdu_session_create_request_success_rate 3-555555,pdu_session_create_request_success_rate 3-666666,n4_establish_success open5gs-smf-metrics.default.svc.cluster.local:9090,smf_sessions 1-111111,smf_sessions 1-222222,smf_sessions 2-333333,smf_sessions 2-444444,smf_sessions 3-555555,smf_sessions 3-666666,active_ues open5gs-smf-metrics.default.svc.cluster.local:9090,n4_establish 10.1.0.138:9090,upf_inbound_traffic 10.1.0.138:9090,upf_outbound_traffic 10.1.0.138:9090,n4_establish 10.1.0.201:9090,upf_inbound_traffic 10.1.0.201:9090,upf_outbound_traffic 10.1.0.201:9090,n4_establish 10.1.0.228:9090,upf_inbound_traffic 10.1.0.228:9090,upf_outbound_traffic 10.1.0.228:9090,n4_establish 10.1.0.232:9090,upf_inbound_traffic 10.1.0.232:9090,upf_outbound_traffic 10.1.0.232:9090,n4_establish 10.1.0.33:9090,upf_inbound_traffic 10.1.0.33:9090,upf_outbound_traffic 10.1.0.33:9090,n4_establish 10.1.0.76:9090,upf_inbound_traffic 10.1.0.76:9090,upf_outbound_traffic 10.1.0.76:9090,cpu_request open5gs-amf,cpu_request open5gs-smf,amf_init_request_rate open5gs-amf-metrics.default.svc.cluster.local:9090,amf_init_requests_succ_rate open5gs-amf-metrics.default.svc.cluster.local:9090,registered_subscribers 1-111111,registered_subscribers 1-222222,registered_subscribers 2-333333,registered_subscribers 2-444444,registered_subscribers 3-555555,registered_subscribers 3-666666,container_cpu_use alertmanager,container_cpu_use calico-kube-controllers,container_cpu_use calico-node,container_cpu_use coredns,container_cpu_use dashboard-metrics-scraper,container_cpu_use grafana,container_cpu_use hostpath-provisioner,container_cpu_use kube-state-metrics,container_cpu_use kubernetes-dashboard,container_cpu_use metrics-server,container_cpu_use mongodb,container_cpu_use node-exporter,container_cpu_use open5gs-amf,container_cpu_use open5gs-ausf,container_cpu_use open5gs-bsf,container_cpu_use open5gs-nrf,container_cpu_use open5gs-nssf,container_cpu_use open5gs-pcf,container_cpu_use open5gs-scp,container_cpu_use open5gs-smf,container_cpu_use open5gs-udm,container_cpu_use open5gs-udr,container_cpu_use open5gs-webui,container_cpu_use populate,container_cpu_use prometheus-server,container_cpu_use prometheus-server-configmap-reload,container_cpu_use pushgateway,container_cpu_use <no value>,pcf_policy_association_requests 1-111111,pcf_policy_association_requests 1-222222,pcf_policy_association_requests 2-333333,pcf_policy_association_requests 2-444444,pcf_policy_association_requests 3-555555,pcf_policy_association_requests 3-666666,pcf_policy_association_requests_success 1-111111,pcf_policy_association_requests_success 1-222222,pcf_policy_association_requests_success 2-333333,pcf_policy_association_requests_success 2-444444,pcf_policy_association_requests_success 3-555555,pcf_policy_association_requests_success 3-666666,pcf_policy_association_number 1-111111,pcf_policy_association_number 1-222222,pcf_policy_association_number 2-333333,pcf_policy_association_number 2-444444,pcf_policy_association_number 3-555555,pcf_policy_association_number 3-666666,label
1725593455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,9.0,32.0,11.0,41.0,60.0,0.0,7.0,7.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,211.8,1.0,0.0,0.0,0.0,0.0,13.8,0.0,0.02,0.02,0.0,0.0,29.0,29.0,37.0,37.0,30.0,30.0,0.0029764235989787695,0.011033488360570411,0.07456809467555442,0.010161069718915642,0.0005534890711327503,0.0030289965165282247,0.004660542268321964,0.003974005310955191,0.001274514925319379,0.008443764865630123,1.4489105273898923,0.027508420115886112,0.01702627791003542,0.0002197230737162696,0.0022113819742979666,0.0008618576651562413,0.00028738609907913567,0.009454723829012926,0.028280644719827344,0.017425667412497948,0.014355458215107532,0.006744781388046804,0.0011113753647644564,0.00010468591652792703,0.10175079378309135,0.0,0.0014476472505025645,0.17707140057826307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1725593460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,9.0,32.0,11.0,41.0,60.0,0.0,7.0,7.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,210.4,1.0,0.0,0.0,0.0,0.0,13.600000000000001,0.0,0.02,0.02,0.0,0.0,29.0,29.0,37.0,37.0,30.0,30.0,0.0029764235989787695,0.005693170671231929,0.07813885473288829,0.010095155507003604,0.0004241243605887197,0.0024550206877615014,0.004660542268321964,0.003974005310955192,0.001274514925319379,0.008443764865630123,1.5779909529373157,0.027508420115886112,0.01702627791003542,0.00024117106414817458,0.0014702007889063372,0.0008137858406606884,0.00028738609907913567,0.004844627425726443,0.028280644719827344,0.013583119724156394,0.014355458215107532,0.006744781388046804,0.0007916617514273058,0.00011561135475264832,0.123920099601865,3.664540845993814e-06,0.0017277417095260216,0.19672115941651214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1725593465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,9.0,32.0,11.0,41.0,60.0,0.0,1.4000000000000001,1.4000000000000001,0.0,3.8000000000000003,3.8000000000000003,0.0,0.0,0.0,0.0,83.60000000000001,0.4,0.0,0.0,0.0,0.0,10.600000000000001,0.0,0.02,0.02,0.0,0.0,29.0,29.0,37.0,37.0,30.0,30.0,0.002445876092460804,0.004885886727377085,0.07813885473288829,0.008890134799216458,0.0004241243605887197,0.0030889490597738986,0.004650558501894179,0.003896694570385856,0.001274514925319379,0.008480870869816595,1.5779909529373157,0.028265215525115524,0.005650832572078856,0.0002677413206932582,0.0012745415672493854,0.0008137858406606884,0.00027311424412009705,0.004844627425726443,0.022443283977615646,0.007431100982559892,0.007809376197360765,0.004540912397592755,0.0010045451043832507,0.00011561135475264832,0.1257322451104542,4.547211423423013e-06,0.0017277417095260216,0.1942849893654395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1725593531.0,11.8,0.0,2.2,0.0,3.0,0.0,6.6000000000000005,0.0,2.2,0.0,2.8000000000000003,0.0,6.2,0.0,4.0,21.0,7.0,37.0,8.0,62.0,100.0,0.8,0.6000000000000001,0.6000000000000001,2.2,0.0,0.0,0.0,0.0,0.0,6.6000000000000005,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,12.0,12.0,47.0,46.0,56.0,56.0,54.0,54.0,0.0034831491539217777,0.006003165621157147,0.06268797245593316,0.01059027919082326,0.0006303367830824425,0.005492682281151642,0.0050301894397034985,0.004256861498657386,0.0007629814969223451,0.010396388218838181,1.6453661395785544,0.023852175765505784,0.0007558407784910215,0.00028998059000888914,0.0009486540004578402,0.0012263006388474817,0.00021412624814853216,0.008284036437288974,0.0022703128481775937,0.0008229835663335714,0.013179242754065408,0.0003494408682181221,0.000821721522393499,0.00012037055365135852,0.09631387232855587,0.0004578879668500769,0.0021412588999757667,0.16795708682278823,0.0,16.0,0.0,18.0,0.0,46.0,0.0,16.0,0.0,18.0,0.0,46.0,16.400000000000002,0.8,9.200000000000001,1.4000000000000001,17.400000000000002,3.4000000000000004,0
1725593536.0,12.4,2.0,2.6,1.8,1.0,2.6,2.4000000000000004,2.0,2.6,1.8,1.2000000000000002,2.6,2.8000000000000003,3.2,14.0,34.0,16.0,42.0,21.0,74.0,101.0,1.2000000000000002,9.200000000000001,9.200000000000001,2.6,6.4,6.4,0.8,0.0,0.0,2.4000000000000004,215.60000000000002,2.0,1.0,2.4000000000000004,0.8,2.6,6.2,0.0,0.02,0.02,0.0,0.0,47.0,46.0,56.0,56.0,54.0,54.0,0.0034831491539217777,0.0047329624775605305,0.07548776110402108,0.01128594755238963,0.0005125425967439111,0.005492682281151642,0.006174313047865754,0.004451292109494202,0.0007629814969223451,0.010396388218838181,1.568717608868091,0.02748064573368333,0.0006881625391646027,0.00021308639837897705,0.0009486540004578402,0.0009918966781224487,0.00027871949731711536,0.008284036437288974,0.0022703128481775937,0.0008015596067984371,0.019752909491795714,0.011916681828186195,0.0007765204207295703,0.00013079797371000525,0.12611305401208633,0.0004578879668500769,0.0023070918077570577,0.16970819994079972,20.0,32.0,18.0,22.0,26.0,44.0,20.0,32.0,18.0,22.0,26.0,44.0,2.0,3.2,1.8,2.2,2.6,4.4,0
1725593540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,16.0,42.0,21.0,74.0,101.0,0.0,10.0,10.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,233.8,1.0,0.0,3.6,0.0,0.0,16.2,0.0,0.02,0.02,0.0,0.0,47.0,46.0,56.0,56.0,54.0,54.0,0.0034831491539217777,0.012022911581092994,0.07593535059365626,0.01128594755238963,0.0005447469775167763,0.004466681432565706,0.006174313047865754,0.004451292109494202,0.0008164102992312475,0.009403921810464106,1.7311505896488026,0.02748064573368333,0.02366077449835648,0.003762322089990032,0.0009486540004578402,0.001318182488098924,0.00027871949731711536,0.012426778098419676,0.0016275609880626687,0.01747576465018004,0.01977316419556632,0.015279284510784748,0.0008030776863557551,0.0001080058817994797,0.12611305401208633,0.0003707239047160886,0.002181453405390318,0.17657443136118847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1725593545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,16.0,42.0,21.0,74.0,101.0,0.0,10.0,10.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,233.60000000000002,1.0,0.0,1.6,0.0,0.0,16.6,0.0,0.02,0.02,0.0,0.0,47.0,46.0,56.0,56.0,54.0,54.0,0.002772805751034903,0.012022911581092994,0.07593535059365626,0.01128594755238963,0.0003089706066416439,0.0036154622297271317,0.006070746219030847,0.004395823165991251,0.0006528629060377479,0.009403921810464106,1.7311505896488026,0.02748064573368333,0.02366077449835648,0.003762322089990032,0.002906492430107313,0.001318182488098924,0.0002981398889455096,0.010318523415780701,0.048939593355375975,0.01747576465018004,0.01977316419556632,0.015279284510784748,0.0006863097536280997,0.0001306661219825333,0.1312202968698881,0.00047117901511455323,0.002181453405390318,0.1811330789030849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1725593550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,16.0,42.0,21.0,74.0,101.0,0.0,10.0,9.8,0.0,12.0,12.0,0.0,0.0,0.0,0.0,233.60000000000002,1.0,0.0,1.2000000000000002,0.0,0.0,16.2,0.0,0.04,0.02,0.0,0.0,47.0,46.0,56.0,56.0,54.0,54.0,0.002426285722123003,0.007524633892448693,0.048878980637268414,0.008406153276004625,0.0002254650372790375,0.002659105794861334,0.004310589193312765,0.003207762850858481,0.0005967365383131452,0.007403787961970662,0.8337173648681997,0.01652970348822351,0.026011816372310596,0.002745478281884618,0.0021209539354837153,0.0009698352706268287,0.00017789553920169018,0.008804915253405748,0.03571267623230139,0.017097592621801556,0.01442906576433218,0.01055365644589941,0.0006081241345709558,9.535095387914592e-05,0.10086729493751878,0.0002552772907912162,0.001381934947787363,0.13748619165066622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1725593555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,16.0,42.0,21.0,74.0,101.0,0.0,10.0,10.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,233.50659736105558,0.9996001599360256,0.0,0.0,0.0,0.0,16.400000000000002,0.0,0.04,0.02,0.0,0.0,47.0,46.0,56.0,56.0,54.0,54.0,0.0018673613943194572,0.0067602535126619345,0.03472357837069252,0.006617610025790877,0.000153344608339322,0.0021199097307076625,0.003328030424720972,0.0028419359478812647,0.00042320032486399485,0.005828513927508819,0.8939620614843599,0.01619893672515693,0.013982985788880848,0.0022069629566215635,0.0016696871406999458,0.000817941065300377,0.0001825252849436607,0.010620325395712919,0.029470889176290208,0.009184037712029415,0.012874922562194637,0.00830819762762294,0.00047873602083245453,7.988835853695316e-05,0.08248526073790455,0.0,0.0011378827729260168,0.10944998175299307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1725593560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,16.0,42.0,21.0,74.0,101.0,0.0,10.0,10.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,232.89315726290513,1.0004001600640255,0.0,0.0,0.0,0.0,15.8,0.0,0.04,0.02,0.0,0.0,47.0,46.0,56.0,56.0,54.0,54.0,0.0018673613943194572,0.0067602535126619345,0.05155778293936839,0.0067052317444912905,0.0003538013114558423,0.002119909730707663,0.002810743228358908,0.0030919138726422527,0.0006080071693206356,0.006128735806887465,0.8939620614843599,0.01619893672515693,0.013982985788880848,0.0022069629566215635,0.0017234341005236988,0.0008397369932006347,0.0001926055919725208,0.010620325395712919,0.029470889176290208,0.009184037712029415,0.012874922562194637,0.00830819762762294,0.000541967484330317,7.988835853695316e-05,0.08248526073790455,0.0,0.0011378827729260168,0.12558424719092112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
